year,infl,rent,cpi18
1978,219,219,973.0548056
1979,242.85,212,867.7299713
1980,277.78,223,792.4155224
1981,292.22,234,736.265022
1982,329.17,255,746.4393443
1983,334.21,267,775.2117073
1984,348.32,267,733.4695385
1985,361.42,272,716.875572
1986,367.80,283,724.48
1987,381.23,293,725.3806586
1988,396.35,318,753.9529295
1989,416.84,328,741.363038
1990,436.32,344,743.9774716
1991,454.12,361,747.9061349
1992,470.92,487,976.3786105
1993,485.02,507,990.0743131
1994,497.12,525,1008.677875
1995,512.23,533,1004.458892
1996,526.34,570,1049.946615
1997,538.43,606,1079.375162
1998,547.50,643,1109.985063
1999,558.25,690,1142.784
2000,579.07,750,1189.078801
2001,597.88,810,1218.608531
2002,604.27,882,1305.615917
2003,617.03,900,1309.197556
2004,637.18,932,1339.379638
2005,653.31,950,1338.979773
2006,681.52,994,1357.465698
2007,699.83,1042,1377.912464
2008,734.98,1100,1410.736779
2009,724.49,1150,1464.160966
2010,732.12,1151,1445.630376
2011,758.18,1195,1462.816402
2012,770.79,1236,1473.48323
2013,784.32,1300,1515.79566
2014,800.57,1375,1558.949937
2015,801.56,1474,1628.621444
2016,809.55,1572,1686.218244
2017,822.78,1675,1740.62941
2018,846.57,1750,1750
